title,author,tokens,sentences,ttr,JJ,MD,JJR,JJS,VBD
The_Tapestried_Chamber_and_Death_of_the_Lairds_Jock,Scott,7904,203,0.36666666666666664,0.07793522267206478,0.012904858299595142,0.00215080971659919,0.0031629554655870445,0.06022267206477733
The_Antiquary_—_Complete,Scott,173927,4103,0.383,0.06747083546545389,0.014644074812996257,0.0024665520591972494,0.0017248615798582164,0.05472410839030168
Old_Mortality_Volume_2,Scott,83531,3401,0.38366666666666666,0.06337766817109816,0.015168021453113216,0.002454178688151704,0.001771797296811962,0.060229136488249874
The_Surgeons_Daughter,Scott,67025,2448,0.375,0.06418500559492726,0.017381574039537485,0.0027601641178664677,0.0019544945915703094,0.0583662812383439
Life_of_Napoleon_Bonaparte_Volume_IV,Scott,196923,6736,0.354,0.06484768158112562,0.012157035998842188,0.001868750729980754,0.001655469396667733,0.060648070565652565
Waverley;_Or_Tis_Sixty_Years_Since,Scott,207854,6257,0.3933333333333333,0.0689618674646627,0.014053133449440473,0.00220346974318512,0.0018522616836818152,0.05895003223416437
The_Betrothed,Scott,130664,4163,0.37633333333333335,0.06792995775423988,0.015413579868976918,0.002732198616298292,0.002617400355109288,0.05720014694177432
Letters_on_Demonology_and_Witchcraft,Scott,108276,2948,0.38566666666666666,0.07309098969300676,0.010667183863460047,0.002216557685913776,0.00201337323137168,0.05422254239166574
Guy_Mannering_Or_the_Astrologer_—_Complete,Scott,171365,7580,0.356,0.06472733638724361,0.014863011700172147,0.0021066145362238498,0.00204825956292125,0.05953957926064249
Minstrelsy_of_the_Scottish_Border_Volume_2_(of_3)\r\nConsisting_of_Historical_and_Romantic_Ballads_Collected_in_the_Southern_Counties_of_Scotland;_with_a_Few_of_Modern_Date_Founded_Upon_Local_Tradition,Scott,74499,3081,0.423,0.0646720090202553,0.00931556128270178,0.0019060658532329294,0.0018255278594343548,0.053114806910159865
The_Antiquary_—_Volume_02,Scott,83018,3191,0.37133333333333335,0.06280565660459178,0.016020622033775807,0.0024693439976872485,0.001698426847189766,0.056096268279168374
Quentin_Durward,Scott,183743,4057,0.384,0.06628823955198293,0.015260445295875218,0.002982426541419265,0.0023402252058581825,0.05660079567656999
Life_of_Napoleon_Bonaparte_Volume_I,Scott,193043,6527,0.43633333333333335,0.07163688919049124,0.010702278766906855,0.0021290593287505892,0.0023466274353382407,0.058562082023176185
The_Lady_of_the_Lake,Scott,50478,2379,0.41133333333333333,0.0721304330599469,0.009112880858988074,0.0027734854788224574,0.0024565157098141764,0.05097270097864416
The_Fortunes_of_Nigel,Scott,196200,4631,0.3993333333333333,0.06380733944954128,0.017670744138634047,0.003103975535168196,0.0022629969418960245,0.05386850152905199
Scotts_Lady_of_the_Lake,Scott,43272,2577,0.391,0.07069236457755593,0.009336291366241449,0.0024958402662229617,0.002172305416897763,0.041990201515991865
The_Antiquary_—_Volume_01,Scott,85088,3027,0.381,0.07020966528770214,0.014150056412185032,0.0025385483264385106,0.0017981383978939451,0.052322301617149305
Guy_Mannering_Or_the_Astrologer_—_Volume_01,Scott,88102,3755,0.356,0.06702458513995142,0.013768132392000181,0.002009034982179746,0.0021792921840593856,0.05921545481373862
Old_Mortality_Volume_1,Scott,95659,3286,0.37933333333333336,0.06432222791373525,0.014248528627729748,0.0023102896747822996,0.0016830617087780554,0.05040822086787443
